hotel_cluster,cnt,bk,score
0,379893,19227,109824
1,452694,38450,145844
2,434519,45055,137408
3,225250,12413,58324.5
4,351849,35589,105218
5,620194,42734,168724
6,384391,44449,121109
7,252447,34726,83111
8,331057,22313,91707.8
9,488328,45309,149474
10,404764,31726,114342
11,350514,27755,100365
12,259022,15895,69325.7
13,335978,43182,109371
14,192299,15137,52187.2
15,324141,39393,105491
16,477868,56676,150185
17,349343,20951,92897.5
18,545284,55659,165448
19,282893,32075,91190.8
20,304819,13200,73548.3
21,550092,51470,165917
22,290184,22427,85684.4
23,259233,16144,65518.6
24,164127,12266,51987.9
25,530591,46372,158557
26,384984,16627,111405
27,105040,2683,28243.7
28,507016,63978,164735
29,408451,35022,120743
30,489287,27926,126207
31,257587,12160,71276.5
32,290252,41888,97217.4
33,407514,38111,119389
34,311625,19390,90860.1
35,139122,7129,34807.9
36,426407,40410,131943
37,496061,40066,141124
38,269246,16293,72451.8
39,343235,35909,100818
40,433730,30380,114254
41,772743,49775,207562
42,551605,73123,179295
43,253578,32270,82800.2
44,295209,11008,71765
45,241408,18168,77936.4
46,534038,46797,165311
47,438303,44084,129044
48,754033,85377,232187
49,240124,23906,74069.9
50,489892,54409,150124
51,377059,30504,106179
52,334152,8381,93609
53,134812,5124,31381.8
54,250745,21143,73793.5
55,425018,35278,123702
56,394631,28374,113741
57,312561,14362,77090.3
58,483253,31888,135012
59,570291,66609,184193
60,217919,8211,50723
61,397806,27499,109718
62,518809,40529,149208
63,299128,15202,85817.9
64,704734,48017,207571
65,670960,21478,197291
66,273505,9467,83977.1
67,255946,22422,76705.8
68,503797,42883,147480
69,341830,18660,89212.2
70,545572,36891,149227
71,216054,9212,57046.4
72,457463,43687,134673
73,335754,14908,88494.8
74,48355,2465,13357
75,165226,11324,46079.9
76,319776,19374,80527
77,405283,38766,119261
78,375366,25197,103371
79,287001,21482,89085.6
80,220218,7792,60185.5
81,350404,30983,105139
82,503755,54320,159803
83,534132,33433,139899
84,278264,10259,75418.3
85,367214,23904,97780
86,209054,7697,51504.9
87,260398,6326,66606.7
88,107784,7192,33337
89,243560,15128,66674.9
90,403316,23930,104607
91,1043720,120972,323558
92,244343,6433,63532.2
93,214293,8973,50483.5
94,292029,27604,83204.1
95,509266,55125,160639
96,369962,16710,101429
97,479446,29170,132304
98,589178,48961,176941
99,444887,38962,133409
