,coef,names
0,4.999999999999666,32t1
1,2.0000000000000497,32t2
2,4.000000000000167,32t3
3,3.9999999999999964,32t4
4,1.000000000000206,32t5
5,6.999999999999897,32t6
6,4.999999999999888,32t7
7,8.000000000000092,32t8
8,3.000000000000013,32t9
9,6.0000000000000515,32t10
10,6.000000000000075,32t11
11,7.000000000000003,32t12
12,6.999999999999958,32t13
13,6.000000000000044,32t14
14,6.000000000000017,32t15
15,9.00000000000007,32t16
16,6.0000000000001315,32t17
17,2.999999999999983,32t18
18,6.000000000000077,32t19
19,4.999999999999958,32t20
20,6.000000000000029,32t21
21,5.000000000000043,32t22
22,7.0000000000000036,32t23
23,6.000000000000028,32t24
24,8.000000000000043,32t25
25,6.99999999999999,32t26
26,4.999999999999973,32t27
27,7.000000000000031,32t28
28,3.000000000000007,32t29
29,6.0000000000000675,32t30
30,8.000000000000036,32t31
31,3.9999999999999742,32t32
32,7.99999999999981,32n1
33,3.9999999999999245,32n2
34,4.999999999999957,32n3
35,6.00000000000001,32n4
36,7.000000000000002,32n5
37,8.000000000000078,32n6
38,6.9999999999999565,32n7
39,3.0000000000001297,32n8
40,6.000000000000041,32n9
41,5.999999999999986,32n10
42,4.000000000000027,32n11
43,5.000000000000038,32n12
44,2.9999999999999005,32n13
45,5.999999999999993,32n14
46,6.000000000000182,32n15
47,3.9999999999998845,32n16
48,5.000000000000107,32n17
49,6.999999999999991,32n18
50,5.999999999999929,32n19
51,6.000000000000023,32n20
52,4.000000000000023,32n21
53,3.000000000000029,32n22
54,5.000000000000093,32n23
55,6.999999999999954,32n24
56,5.9999999999999725,32n25
57,5.0000000000000675,32n26
58,5.000000000000005,32n27
59,4.000000000000043,32n28
60,7.000000000000089,32n29
61,5.999999999999977,32n30
62,0.9999999999999654,32n31
63,6.000000000000013,32n32
64,3.0000000000000475,32l1
65,10.000000000000027,32l2
66,6.999999999999995,32l3
67,5.999999999999948,32l4
68,7.9999999999997735,32l5
69,1.0000000000000582,32l6
70,4.000000000000297,32l7
71,4.999999999999816,32l8
72,6.99999999999999,32l9
73,4.000000000000004,32l10
74,5.999999999999937,32l11
75,4.0,32l12
76,6.000000000000167,32l13
77,4.000000000000009,32l14
78,3.9999999999998432,32l15
79,3.0000000000000915,32l16
80,4.99999999999981,32l17
81,6.000000000000066,32l18
82,4.000000000000041,32l19
83,5.000000000000058,32l20
84,5.999999999999991,32l21
85,7.999999999999971,32l22
86,3.9999999999999463,32l23
87,3.0000000000000533,32l24
88,2.0000000000000315,32l25
89,3.999999999999981,32l26
90,6.000000000000063,32l27
91,4.999999999999974,32l28
92,5.999999999999952,32l29
93,3.999999999999996,32l30
94,7.000000000000042,32l31
95,6.000000000000055,32l32
96,4.9999999999999805,rt
97,4.000000000000034,rn
98,8.000000000000032,rl
